✓ Log: [INFO] [SERVER] Starting server...
✓ Serveur démarré sur 0.0.0.0:5050
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:37310
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:37316
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:36000
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:36010
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:36016
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:36026
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:36036
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:54362
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:54370
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:54384
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:54388
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:54398
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:33648
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:33650
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:33652
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:33664
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:33666
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:39068
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:39072
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:39084
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:39100
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:39106
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:60414
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:60416
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:60432
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:60438
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:60454
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51110
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51118
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51124
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51138
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:51144
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:52140
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:52142
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:52158
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:52162
✓ Log: [INFO] [CONNECTION] Client from 127.0.0.1:52172
